31/05/2018 23:40:00: 6453
31/05/2018 23:45:00: 6448,1
31/05/2018 23:50:00: 6445,1
31/05/2018 23:55:00: 6444,2
01/06/2018 0:00:00: 6436
01/06/2018 0:05:00: 6366,9
01/06/2018 0:10:00: 6356,3
01/06/2018 0:15:00: 6355,6
01/06/2018 0:20:00: 6366
01/06/2018 0:25:00: 6372
01/06/2018 0:30:00: 6367,6
01/06/2018 0:35:00: 6363,2
01/06/2018 0:40:00: 6358,6
01/06/2018 0:45:00: 6348,4
01/06/2018 0:50:00: 6356,8
01/06/2018 0:55:00: 6353
01/06/2018 1:00:00: 6367,4
01/06/2018 1:05:00: 6380,2
01/06/2018 1:10:00: 6385,5
01/06/2018 1:15:00: 6383
01/06/2018 1:20:00: 6382,1
01/06/2018 1:25:00: 6382,1
01/06/2018 1:30:00: 6375,1
01/06/2018 1:35:00: 6379,5
01/06/2018 1:40:00: 6380,1
01/06/2018 1:45:00: 6397,4
01/06/2018 1:50:00: 6396,5
01/06/2018 1:55:00: 6399,9
01/06/2018 2:00:00: 6405,8
01/06/2018 2:05:00: 6426,9
01/06/2018 2:10:00: 6417,4
01/06/2018 2:15:00: 6411,2
01/06/2018 2:20:00: 6424,4
01/06/2018 2:25:00: 6423,3
01/06/2018 2:30:00: 6421,9
01/06/2018 2:35:00: 6418,9
01/06/2018 2:40:00: 6414,1
01/06/2018 2:45:00: 6413,6
01/06/2018 2:50:00: 6411,7
01/06/2018 2:55:00: 6415,3
01/06/2018 3:00:00: 6406
01/06/2018 3:05:00: 6396,7
01/06/2018 3:10:00: 6396,7
01/06/2018 3:15:00: 6402,6
01/06/2018 3:20:00: 6415
01/06/2018 3:25:00: 6416,6
01/06/2018 3:30:00: 6401,4
01/06/2018 3:35:00: 6404,3
01/06/2018 3:40:00: 6409
01/06/2018 3:45:00: 6405,3
01/06/2018 3:50:00: 6399,1
01/06/2018 3:55:00: 6399,4
01/06/2018 4:00:00: 6406,2
01/06/2018 4:05:00: 6407,2
01/06/2018 4:10:00: 6420,8
01/06/2018 4:15:00: 6423,2
01/06/2018 4:20:00: 6422,5
01/06/2018 4:25:00: 6410,9
01/06/2018 4:30:00: 6414,1
01/06/2018 4:35:00: 6406,6
01/06/2018 4:40:00: 6407
01/06/2018 4:45:00: 6411,6
01/06/2018 4:50:00: 6409
01/06/2018 4:55:00: 6400,5
01/06/2018 5:00:00: 6397,9
01/06/2018 5:05:00: 6397,7
01/06/2018 5:10:00: 6400,1
01/06/2018 5:15:00: 6402,8
